  1585  1585  1753  1920  1813  1707  1691  1676  1676  1676  1676  1676  1676  1676  1905  2133  1828  1524  1295  1067   914   762   991  1219  1219  1219  1219  1219  1676  2133  1676  1219  1219  1219  1219  1219   914   610   610   610   610   610   610   610   610   610   762   914   838   762   686   610   610   610   610   610   610   610   610   610   610   610   610   610   610   610   610   610   686   762   762   762   838   914   914   914   838   762   686   610   686   762   609   457   457   457   396   335   243   152   137   122   122   122   518   914   533   152   152   152   152   152   152   152   152   152   106    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61   107   152   121    91   152   213   244   274   167    61   107   152   121    91    76    61    61    61   153   244   198   152   106    61    30     0     0    -1    -1    -1    -1    -2    -3    -4    -5    -6    -8    -9   -11   -13   -14   -15   -16   -17   -18   -18   -19   -20   -22   -23   -26   -31   -36   -40   -44   -47   -49   -49   -50   -50   -49   -49   -49   -50   -51   -52   -54   -56   -58   -60   -62   -64   -67   -70   -73   -74   -76   -78   -79   -80   -81   -81   -82   -82   -81   -81   -80   -79   -78   -76   -75   -73   -71   -69   -66   -64   -61   -59   -58   -56   -55   -53   -52   -49   -45   -37   -28   -19    -8    -2    -1    -1    -1    22    13    20    62    96   105   270   273   231   354   213   159    76   127    46    13   120     8    46   212   131    86   128    13    -9     0    -1    -1    -1   -14   -25   -49   -42   -59   -85  -109  -120  -152  -154  -156  -156  -145  -132  -119  -114  -113  -115  -119  -123  -125  -120  -120  -108  -103  -102  -101  -101  -100  -100  -101  -110  -117  -121  -121  -119  -114  -105   -86   -94    -4   255   219   385   255   515   615   585   583   628   580   632   620   515   355   410   345   245   235   342   255   210   167   215   260   220   220   220   225   210   127   139   104   215   239
  1616  1631  1676  1722  1691  1661  1707  1753  1821  1890  1745  1600  1638  1676  1790  1904  1943  1981  1638  1296  1105   915   952   990  1105  1219  1258  1296  1485  1676  1447  1219  1219  1219  1219  1219   990   762   808   854   808   762   686   610   610   610   686   762   724   686   648   610   610   610   610   610   610   610   610   610   610   610   686   762   839   915   838   762   647   533   571   609   762   914   876   838   723   609   610   610   648   686   533   381   381   381   327   274   228   183   175   168   152   137   449   762   457   152   152   152   152   152   152   152   152   152   114    76    69    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    91   121   152   183   183   182   182   182   121    61    84   106    91    76    68    61    61    61   130   198   152   106    83    61    38    15     0    -1    -1    -1    -1    -2    -2    -3    -4    -6    -7    -9   -10   -12   -13   -14   -15   -16   -17   -18   -19   -20   -21   -22   -25   -29   -34   -38   -42   -45   -48   -49   -49   -50   -50   -50   -49   -50   -51   -52   -54   -56   -57   -59   -62   -64   -66   -69   -71   -74   -76   -77   -79   -80   -81   -81   -81   -82   -81   -81   -80   -80   -79   -77   -75   -74   -72   -69   -66   -63   -60   -59   -57   -55   -53   -51   -51   -48   -42   -32   -23   -12    -1    -1   -10   -10   -10     8    12    49   191   246   224   230   216   233   216   167    66    51   -10   -10    -1    -1    -1    -1    -1    -1     0    -1    -1    -1    -1    -1    -2    -2   -22   -48   -52   -72   -93  -101  -125  -149  -150  -129  -115  -130  -135  -129  -123  -117  -115  -116  -119  -121  -121  -120  -111  -103   -99   -99  -100  -100   -98  -100  -100  -100  -110  -112  -115   -95   -96   -95   -63    -2   298   430   430   380   325   285   415   270   300   333   600   510   442   505   470   340   295   405   260   230   197   230   230   195   190   138   210   111    93    96    82    57    51   130   155
  1646  1676  1600  1524  1570  1615  1722  1829  1966  2103  1813  1524  1600  1676  1676  1676  2057  2438  1981  1524  1295  1067   914   762   991  1219  1296  1372  1295  1219  1219  1219  1219  1219  1219  1219  1066   914  1006  1097  1005   914   762   610   610   610   610   610   610   610   610   610   610   610   610   610   610   610   610   610   610   610   762   914  1067  1219  1066   914   609   305   381   457   686   914   838   762   609   457   534   610   610   610   457   305   305   305   259   213   213   213   213   213   182   152   381   610   381   152   152   152   152   152   152   152   152   152   121    91    76    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    76    91   183   274   213   152   121    91    76    61    61    61    61    61    61    61    61    61   107   152   106    61    61    61    45    30   -10   -10    -1    -1    -1    -1    -2    -3    -4    -5    -6    -8    -9   -10   -12   -13   -14   -15   -16   -17   -18   -19   -20   -22   -25   -27   -32   -36   -40   -43   -46   -48   -49   -49   -50   -50   -50   -50   -51   -52   -54   -55   -57   -59   -61   -63   -66   -68   -70   -73   -75   -76   -78   -79   -80   -81   -81   -81   -81   -81   -81   -80   -79   -78   -76   -74   -72   -69   -66   -62   -60   -57   -54   -53   -52   -49   -49   -48   -41   -28   -18    -6    -1   -10   -10   -10   -10    38    17   125   261   195   239   193   139   127    94    34     1   -10   -10     0    -1   139    -1    -1    -1    -1    -1    -1    -1    18   143    47    -3    -3   -49   -63   -76   -93  -100  -146  -146  -147  -103  -104  -104  -119  -128  -127  -125  -120  -119  -120  -122  -122  -120  -114  -106  -101   -98   -99   -99   -99   -96   -92   -94   -99   -98   -92   -92   -94   -50    -2    -2   582   705   760   510   534   440   250   268   220   221   351   495   525   475   438   380   305   280   343   280   210   142    81   173   140   180   128    66    29    22    10    29    27    36   135   265
  1920  1935  1829  1722  1669  1615  1630  1646  1706  1767  1645  1524  1616  1707  1730  1753  1866  1981  1813  1646  1394  1143   990   838   914   990  1067  1143  1257  1372  1295  1219  1219  1219  1142  1066   990   914   922   929   883   838   724   610   610   610   610   610   610   610   610   610   610   610   648   686   633   579   549   518   564   610   686   762   838   914   838   762   610   458   534   610   762   914   876   838   762   686   648   610   610   610   457   305   305   305   282   259   236   213   213   213   228   244   465   686   442   198   175   152   152   152   152   152   152   152   121    91    76    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    68    76   122   167   137   106    91    76    68    61    61    61    61    61    69    76    69    61    84   106    83    61    61    61   114   168   129    91    53     0    -1    -1    -1    -2    -3    -4    -5    -6    -8    -9   -10   -11   -13   -14   -15   -16   -17   -18   -20   -21   -23   -25   -30   -34   -38   -41   -44   -46   -49   -49   -49   -49   -50   -50   -51   -52   -54   -55   -57   -59   -60   -62   -65   -67   -69   -71   -73   -75   -77   -78   -79   -80   -81   -81   -81   -81   -81   -80   -79   -78   -77   -75   -74   -70   -66   -63   -59   -52   -50   -50   -49   -49   -34   -49   -43   -28   -13   -10   -10   -10   -10   -10   -10   -10   -10   134    96    81   215    34    -6     2   -10   -10   -10   -10    -1   -10     9     0    -1    38    -1    -1    -1    -1    -5    -9   -10    -2    -3   -49   -56   -78   -92  -100  -130  -136  -145  -100   -83  -101  -104  -116  -125  -125  -126  -125  -125  -125  -125  -122  -118  -112  -106  -101   -98  -100   -99   -99   -88   -83   -82   -82   -72   -59   -46   -31    -1   276   735   815   615   720   510   308   440   315   256   335   330   410   453   590   560   475   327   320   210   105   101    99   148    35    68    58    47     3    -6   -10   -10   -10   -10   -10    23   120   210
  2194  2194  2057  1920  1767  1615  1539  1463  1447  1432  1478  1524  1631  1737  1783  1829  1676  1524  1646  1768  1493  1219  1066   914   838   762   838   914  1219  1524  1371  1219  1219  1219  1066   914   914   914   838   762   762   762   686   610   610   610   610   610   610   610   610   610   610   610   686   762   655   549   488   427   519   610   610   610   610   610   610   610   610   610   686   762   838   914   914   914   914   914   762   610   610   610   457   305   305   305   305   305   259   213   213   213   274   335   549   762   503   244   198   152   152   152   152   152   152   152   121    91    76    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    76    91    76    61    61    61    61    61    61    61   183   305   167    30    30   -10   -10    -1    -1    -1    -2    -3    -4    -5    -6    -7    -9   -10   -11   -13   -14   -15   -16   -17   -19   -20   -22   -25   -28   -32   -35   -39   -42   -44   -46   -48   -49   -49   -50   -50   -51   -52   -53   -55   -56   -58   -60   -61   -64   -66   -68   -70   -72   -74   -75   -77   -78   -79   -80   -81   -81   -81   -81   -80   -80   -78   -77   -76   -74   -71   -65   -63   -59   -50   -34   -49   -49    -4   -49   -48   -46   -33   -14    -1   -10   -10   -10   -10     3   -10   -10   100    66   134    84    -8    21   -10   -10   -10   -10   -10   -10   -10   -10    -1    -1    -1    -6   -12    -4    -1    -2   -47   -28   -18   -49   -55   -78   -91  -101  -122  -145  -144   -99    -9    -9  -100  -108  -117  -122  -125  -126  -125  -127  -126  -124  -121  -117  -111  -105   -99   -98  -103   -99   -91   -75   -67   -62   -55   -34    -6    -3   193   370   575   826   727   580   505   450   420   350   255   488   400   439   445   395   360   335   278   207   168   135    47    54    12    13    17    24     3   -10   -10    -1    -1    -2    -3    -5    -5    -1    11    18
  2057  2057  1889  1722  1645  1569  1555  1539  1470  1402  1540  1677  1730  1783  1767  1752  1692  1631  1562  1493  1318  1143   990   838   762   686   724   762   914  1067  1028   990   952   914   838   762   762   762   724   686   686   686   648   610   610   610   610   610   686   762   678   594   594   594   663   731   846   961   968   976  1022  1067   991   915   800   686   686   686   724   762   800   838   953  1067  1029   991   876   762   724   686   724   762   533   305   305   305   305   305   282   259   336   412   480   549   618   686   457   228   206   183   175   168   160   152   152   152   121    91    76    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    77    92    99   107    84    61    61    61    61    61    61    61    76    91    76    61    61    61    61    61    61    61   122   183   121    61    53    46   -10   -10   -10    -1    -1    -1    -2    -3    -5    -6    -7    -8   -10   -11   -13   -14   -15   -16   -18   -19   -21   -24   -25   -29   -33   -36   -39   -42   -44   -46   -48   -49   -49   -50   -51   -52   -53   -54   -56   -57   -59   -60   -62   -65   -67   -69   -71   -72   -74   -75   -77   -78   -79   -80   -80   -80   -80   -80   -80   -79   -77   -76   -74   -71   -65   -63   -59   -49   -45   -44   -49   -30   -48   -47   -46   -38   -22    -8    -1   -10   -10   -10     6    41    97   101    61   177    89   224   -10   -10   134    85    13   -10   -10   -10   -10    -1    -1    -7   -20   -25   -19    -3   -48   -48   -48   -48   -57   -75   -93  -103  -101  -146  -137  -121    38   -45   -44  -100  -106  -115  -119  -124  -127  -127  -127  -126  -124  -121  -116  -109  -104  -101  -104   -98   -96   -78   -61   -49   -39   -24    -2   285   180   380   655   680   931   642   500   365   270   300   323   413   395   450   405   400   305   245   106   157    85    96    80    20    47    39    49     9   -18   -10   -10    -1    -1    -1    -1    -5    -8    -6    -1    -1    -9
  1920  1920  1722  1524  1524  1524  1570  1615  1493  1372  1601  1829  1829  1829  1752  1676  1707  1737  1478  1219  1143  1067   914   762   686   610   610   610   610   610   686   762   686   610   610   610   610   610   610   610   610   610   610   610   610   610   610   610   762   914   746   579   579   579   640   701  1037  1372  1448  1524  1524  1524  1371  1219   990   762   762   762   838   914   914   914  1067  1219  1143  1067   838   610   686   762   838   914   609   305   305   305   305   305   305   305   458   610   686   762   686   610   411   213   213   213   198   183   167   152   152   152   121    91    76    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    92   122   137   152   106    61    61    61    61    61    61    61    76    91    76    61    61    61    61    61    61    61    61    61    76    91    76    61    45    30    46     0    -1    -1    -1    -1    -3    -4    -5    -7    -8   -10   -11   -13   -14   -15   -17   -18   -20   -22   -25   -27   -31   -34   -37   -39   -42   -44   -46   -48   -49   -50   -50   -51   -53   -54   -55   -57   -58   -60   -61   -63   -65   -67   -69   -71   -72   -74   -75   -77   -78   -79   -80   -80   -80   -80   -80   -79   -77   -76   -74   -71   -65   -60   -59   -53   -42   -49   -35   -39   -32   -41   -46   -46   -31   -15    -5    -1    -1    37     0    -1   185    15     0    -1     4    -1    -1    -1   -10   -10   -10   -10   -10   -10   -10    -3    -2   -20   -33   -38   -35   -49   -49   -58   -60   -64   -74   -88  -103  -115  -117  -146  -144   -98     0   -59   -58  -100  -103  -109  -119  -125  -128  -125  -124  -123  -122  -120  -115  -108   -97   -96   -97   -96   -55   -39   -29   -22   -13    -2   445   465   410   430   730   810   790   655   540   287   141   204   285   315   316   258   230   305   210   118    94    72    10    21     6   -10   -10    57    17   -10   -10   -10    -1    -1    -1    -1    -1    -5    -7    -6    -1    -1    -1
  1745  1767  1753  1738  1616  1493  1554  1615  1615  1616  1684  1752  1791  1829  1829  1829  1730  1630  1463  1296  1219  1143  1143  1143  1067   991   877   762   762   762   724   686   648   610   610   610   610   610   610   610   610   610   610   610   610   610   610   610   762   914   777   640   694   747   930  1113  1265  1418  1356  1295  1333  1371  1295  1219  1105   991   953   915   953   991   952   914   990  1066   990   914   838   762   800   838   876   914   686   458   381   305   305   305   305   305   381   457   533   609   648   686   472   259   236   213   206   198   175   152   152   152   113    76    68    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    69    76    69    61    61    61    61    61    61    61    61    61   100   137   121   106    83    61    61    61    61    61    61    61    76    91    76    61    61    61    61    61    61    61    77    92    84    76    68    61    53    46    54    61    30     0     0    -1    -1    -2    -3    -5    -6    -8   -10   -11   -13   -15   -16   -18   -19   -21   -24   -25   -28   -31   -34   -37   -39   -42   -44   -45   -47   -49   -49   -51   -52   -53   -55   -56   -57   -59   -60   -62   -64   -65   -67   -69   -71   -72   -74   -75   -77   -78   -79   -79   -80   -80   -79   -79   -78   -76   -74   -71   -65   -60   -55   -52   -49   -12   -48   -29   -26   -35   -47   -47   -36   -18    -4    -1     6    -8     0    -1    -1   112     0    -1    -1    -1   -10    -1     0    -1    -1    -4    -3    -3    -7   -11   -21   -33   -47   -48   -49   -50   -58   -62   -67   -75   -84   -95  -106  -102  -147  -138  -143   -51   -17   -17   -70  -101  -104  -104  -119  -124  -124  -122  -121  -121  -121  -119  -114  -105   -96   -74   -52    -4    -4    -3    75    -1    -1   230   435   430   665   580   670   566   570   469   388    75    55   147   321   235   315   205   118   105    57    16   -10   -10    -1    -1    -1    -1    -1   -10   -10   -10    -1   -10    -1   -10    -1    -1    -1    -3    -2    -2    -2    -1    -5
  1570  1615  1783  1951  1707  1463  1539  1615  1737  1859  1767  1676  1753  1829  1905  1981  1752  1524  1448  1372  1295  1219  1372  1524  1448  1372  1143   914   914   914   762   610   610   610   610   610   610   610   610   610   610   610   610   610   610   610   610   610   762   914   807   701   808   914  1219  1524  1493  1463  1265  1067  1143  1219  1219  1219  1219  1219  1143  1067  1067  1067   990   914   914   914   838   762   838   914   914   914   914   914   762   610   457   305   305   305   305   305   305   305   381   457   610   762   533   305   259   213   213   213   182   152   152   152   106    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    76    91    76    61    61    61    61    61    61    61    61    61   107   152   106    61    61    61    61    61    61    61    61    61    76    91    76    61    61    61    61    61    61    61    92   122    91    61    61    61    61    61    61    61    30     0     0     0     0    -1    -1    -3    -5    -7    -8   -10   -12   -14   -15   -17   -18   -20   -22   -24   -26   -29   -32   -34   -37   -39   -41   -43   -45   -47   -49   -50   -51   -53   -54   -55   -57   -58   -59   -60   -62   -64   -66   -67   -69   -71   -72   -74   -75   -77   -78   -79   -79   -80   -79   -79   -78   -76   -74   -71   -66   -60   -55   -53   -49   -49   -25   -36   -33   -41   -48   -50   -39   -18    -1    -1    -1    -1    -1    -1    -1     0    -1    -1    -1    -1    -5    -5    -6    -9   -10   -11   -13   -16   -22   -30   -39   -48   -49   -56   -58   -61   -65   -71   -77   -83   -91   -94  -101  -132  -147  -145   -97    -5    -5   -35   -86  -100  -102  -110  -117  -119  -119  -113  -112  -117  -118  -117  -112   -98   -85   -49    -3   280   250   263   262   295   375   380   375   470   660   760   450   410   400   335   127   -10   -10   -10   -10   290    57    18    12    28   -10   -10     0    -1    -1    -1    -1    -1    -1   -10   -10    22    18   -10   -10    -3    -3    -2    -2    -1    -1   189    -4    -3    -9
  1616  1661  1860  2058  1814  1570  1631  1692  1791  1890  1821  1753  1752  1752  1867  1981  1752  1524  1486  1448  1410  1372  1639  1905  1867  1829  1715  1600  1562  1524  1524  1524  1448  1372  1067   762   762   762   762   762   762   762   762   762   762   762   686   610   762   914   861   808   938  1067  1219  1371  1318  1265  1127   990  1067  1143  1143  1143  1143  1143  1143  1143  1028   914   914   914   953   991   991   991  1067  1143  1105  1067   952   838   762   686   572   458   496   534   534   534   457   381   381   381   495   609   457   305   259   213   197   182   167   152   152   152   106    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    68    76    68    61    61    61    77    92   115   137    99    61    84   106    83    61    69    76    69    61    61    61    61    61    68    76    68    61    61    61    61    61    61    61    76    91    76    61    61    61    61    61    61    61    30     0     0     0     0     0    -1    -2    -4    -6    -7    -9   -11   -13   -15   -16   -18   -19   -21   -23   -25   -27   -29   -32   -34   -36   -39   -41   -43   -45   -48   -49   -51   -52   -53   -55   -56   -57   -58   -59   -60   -62   -64   -66   -67   -69   -71   -72   -74   -75   -77   -78   -79   -79   -79   -79   -78   -77   -75   -71   -67   -62   -56   -53   -50   -44   -40   -45   -40   -40   -48   -49   -42   -24    -2    -1    -1    -7    -7    -3   -10    -1    -1    -1    -1    -2   -10   -20   -20   -21   -22   -23   -27   -32   -38   -47   -48   -54   -58   -61   -65   -70   -74   -79   -84   -90   -95  -101  -104  -127  -149  -144   -66     0   -60   -59   -98  -107  -109  -114  -112  -112  -111  -101  -101  -109  -113  -113   -99   -97   -72   -34    -2   197   155   205   154   290   338   208   217   335   450   460   316   258   218   151   -10   -10   -10    -1    -1    89    14     0    -1    -1    -1    -1    -1    -1    -1    -1    -2   -10   -10    96   138   171   240   310   199   174   -10   -10   -10   -10    -1    26   -45   -11   -11
